, sample_no, plate_id, Eta.V_ave, Ni.PM.Loading, Fe.PM.Loading, Co.PM.Loading, Ta.PM.Loading, Mn.PM.Loading, Cu.PM.Loading
0, 2, 3851, 0.400783, 0.1, 0.2, 0.6, 0.1, 0, 0
1, 3, 3851, 0.402123, 0, 0.3, 0.5, 0, 0.2, 0
2, 4, 3851, 0.448706, 0.2, 0, 0.4, 0.3, 0, 0.1
3, 5, 3851, 0.441132, 0.1, 0, 0.4, 0, 0.1, 0.4
4, 6, 3851, 0.473652, 0.2, 0.1, 0, 0.5, 0, 0.2
5, 7, 3851, 0.473529, 0, 0.1, 0, 0.2, 0.6, 0.1
6, 8, 3851, 0.449793, 0.4, 0, 0.2, 0, 0.1, 0.3
7, 9, 3851, 0.456836, 0, 0, 0.1, 0.1, 0.1, 0.7
8, 10, 3851, 0.448611, 0.2, 0.1, 0, 0.6, 0.1, 0
9, 11, 3851, 0.444944, 0.4, 0, 0.2, 0.1, 0, 0.3
10, 12, 3851, 0.448444, 0, 0.6, 0, 0.1, 0.3, 0
11, 13, 3851, 0.399579, 0.3, 0.4, 0.1, 0.2, 0, 0
12, 14, 3851, 0.416693, 0.1, 0.3, 0.2, 0, 0, 0.4
13, 15, 3851, 0.473432, 0.1, 0.1, 0, 0.3, 0.5, 0
14, 16, 3851, 0.430544, 0, 0, 0.2, 0, 0.7, 0.1
15, 17, 3851, 0.410072, 0.1, 0.6, 0.2, 0.1, 0, 0
16, 18, 3851, 0.418419, 0, 0.3, 0.4, 0, 0.2, 0.1
17, 19, 3851, 0.452672, 0.2, 0, 0.1, 0.1, 0, 0.6
18, 20, 3851, 0.390901, 0.4, 0.2, 0.2, 0.2, 0, 0
19, 21, 3851, 0.391838, 0.4, 0.2, 0.2, 0, 0.2, 0
20, 22, 3851, 0.394337, 0.2, 0.8, 0, 0, 0, 0
21, 23, 3851, 0.458033, 0.2, 0, 0, 0, 0.6, 0.2
22, 24, 3851, 0.507951, 0, 0.2, 0, 0.4, 0.2, 0.2
23, 25, 3851, 0.440042, 0, 0, 0.4, 0.2, 0.2, 0.2
24, 26, 3851, 0.419854, 0, 0, 0.8, 0, 0.2, 0
25, 27, 3851, 0.40187, 0.2, 0.6, 0.2, 0, 0, 0
26, 28, 3851, 0.426885, 0, 0, 0.6, 0.2, 0.2, 0
27, 29, 3851, 0.40938, 0, 0.2, 0.6, 0, 0, 0.2
28, 30, 3851, 0.428641, 1, 0, 0, 0, 0, 0
29, 31, 3851, 0.413072, 0.2, 0.2, 0.4, 0.2, 0, 0
30, 32, 3851, 0.472686, 0, 0, 0.2, 0.2, 0.2, 0.4
31, 33, 3851, 0.407674, 0, 0.6, 0.2, 0, 0.2, 0
32, 34, 3851, 0.421746, 0, 0.2, 0.2, 0, 0.6, 0
33, 35, 3851, 0.453684, 0.2, 0, 0, 0, 0.8, 0
34, 36, 3851, 0.402086, 0.2, 0.4, 0.2, 0.2, 0, 0
35, 37, 3851, 0.478189, 0, 0, 0, 0.2, 0.6, 0.2
36, 38, 3851, 0.448151, 0.4, 0.2, 0, 0, 0.2, 0.2
37, 39, 3851, 0.408738, 0.2, 0.4, 0.2, 0, 0.2, 0
38, 40, 3851, 0.453585, 0.8, 0, 0, 0, 0.2, 0
39, 41, 3851, 0.443891, 0, 0, 0.2, 0, 0, 0.8
40, 42, 3851, 0.446597, 0, 0.2, 0.2, 0.2, 0, 0.4
41, 43, 3851, 0.448833, 0, 0.2, 0, 0, 0.6, 0.2
42, 44, 3851, 0.452027, 0, 0.2, 0, 0, 0.8, 0
43, 45, 3851, 0.418936, 0, 0.2, 0.6, 0.2, 0, 0
44, 46, 3851, 0.480445, 0, 0, 0.1, 0.4, 0.5, 0
45, 47, 3851, 0.385595, 0.3, 0.1, 0, 0, 0, 0.6
46, 48, 3851, 0.48421, 0.1, 0.1, 0, 0, 0.4, 0.4
47, 49, 3851, 0.4012, 0.4, 0.1, 0.5, 0, 0, 0
48, 50, 3851, 0.44309, 0, 0, 0.3, 0.1, 0.5, 0.1
49, 51, 3851, 0.495927, 0.1, 0, 0, 0.2, 0.7, 0
50, 52, 3851, 0.433467, 0.2, 0.4, 0, 0, 0.3, 0.1
51, 53, 3851, 0.430993, 0, 0.1, 0.2, 0, 0.6, 0.1
52, 54, 3851, 0.383621, 0.3, 0.3, 0.3, 0.1, 0, 0
53, 55, 3851, 0.43665, 0, 0.4, 0.1, 0.4, 0.1, 0
54, 56, 3851, 0.410599, 0.2, 0.2, 0.1, 0.5, 0, 0
55, 57, 3851, 0.377356, 0.4, 0.4, 0.1, 0.1, 0, 0
56, 58, 3851, 0.495504, 0, 0.3, 0, 0.7, 0, 0
57, 59, 3851, 0.471949, 0.2, 0, 0.1, 0.6, 0, 0.1
58, 60, 3851, 0.381337, 0.3, 0.3, 0.4, 0, 0, 0
59, 61, 3851, 0.483006, 0, 0.2, 0, 0.1, 0.4, 0.3
60, 62, 3851, 0.402445, 0.1, 0.4, 0.3, 0, 0.2, 0
61, 63, 3851, 0.458591, 0.5, 0, 0, 0.1, 0.4, 0
62, 64, 3851, 0.476524, 0.1, 0, 0.1, 0.4, 0.4, 0
63, 66, 3851, 0.400955, 0.1, 0.3, 0.5, 0.1, 0, 0
64, 67, 3851, 0.382762, 0.6, 0.1, 0.1, 0, 0.2, 0
65, 68, 3851, 0.460669, 0, 0.3, 0, 0.1, 0.6, 0
66, 69, 3851, 0.421546, 0.4, 0.1, 0, 0.1, 0.4, 0
67, 70, 3851, 0.417434, 0.6, 0, 0.1, 0, 0.3, 0
68, 71, 3851, 0.380281, 0.3, 0.5, 0, 0.1, 0.1, 0
69, 72, 3851, 0.401967, 0.4, 0.2, 0.4, 0, 0, 0
70, 73, 3851, 0.408909, 0.5, 0.1, 0.3, 0, 0.1, 0
71, 74, 3851, 0.42578, 0.1, 0.1, 0.3, 0, 0, 0.5
72, 75, 3851, 0.437798, 0, 0.2, 0.1, 0.1, 0.6, 0
73, 76, 3851, 0.417237, 0.1, 0.2, 0.7, 0, 0, 0
74, 77, 3851, 0.441863, 0.5, 0.2, 0, 0, 0.2, 0.1
75, 78, 3851, 0.462019, 0.1, 0, 0.1, 0.2, 0, 0.6
76, 79, 3851, 0.447999, 0.2, 0.1, 0, 0, 0.6, 0.1
77, 80, 3851, 0.417195, 0, 0.7, 0.1, 0.1, 0.1, 0
78, 81, 3851, 0.441323, 0, 0, 0.4, 0.3, 0.2, 0.1
79, 82, 3851, 0.433815, 0.1, 0.1, 0.2, 0.6, 0, 0
80, 83, 3851, 0.393671, 0.3, 0.1, 0.4, 0.2, 0, 0
81, 84, 3851, 0.423477, 0.8, 0, 0.2, 0, 0, 0
82, 85, 3851, 0.425734, 0.2, 0.4, 0, 0.2, 0, 0.2
83, 86, 3851, 0.403936, 0.4, 0.2, 0.2, 0, 0, 0.2
84, 87, 3851, 0.503627, 0, 0, 0, 0.8, 0.2, 0
85, 88, 3851, 0.493441, 0.4, 0, 0, 0.2, 0.2, 0.2
86, 89, 3851, 0.452993, 0.2, 0.2, 0, 0.4, 0, 0.2
87, 90, 3851, 0.449699, 0, 0.2, 0.2, 0.4, 0, 0.2
88, 91, 3851, 0.480336, 0.2, 0, 0, 0.4, 0.2, 0.2
89, 92, 3851, 0.394289, 0.6, 0.2, 0, 0.2, 0, 0
90, 93, 3851, 0.404298, 0.6, 0.2, 0, 0, 0.2, 0
91, 94, 3851, 0.451817, 0, 0, 0.2, 0.2, 0.4, 0.2
92, 95, 3851, 0.454289, 0, 0, 0.2, 0, 0.2, 0.6
93, 96, 3851, 0.506504, 0, 0.2, 0, 0.6, 0, 0.2
94, 97, 3851, 0.441832, 0.2, 0.2, 0, 0, 0.6, 0
95, 98, 3851, 0.509858, 0, 0.2, 0, 0.6, 0.2, 0
96, 99, 3851, 0.421299, 0.2, 0.6, 0, 0, 0.2, 0
97, 100, 3851, 0.419272, 0.8, 0, 0, 0, 0, 0.2
98, 101, 3851, 0.432839, 0.4, 0, 0.2, 0.2, 0.2, 0
99, 102, 3851, 0.437245, 0.2, 0, 0.6, 0.2, 0, 0
